date,category,subcategory,country,unit,value,mean_production,pct_zero
2002-01-01,CRUDEOIL,Refinery Intake,Algeria,KBD,365,1105.1333333333334,0.025925925925925925
2002-01-01,CRUDEOIL,Refinery Intake,Angola,KBD,0,1368.6431974074076,0.06666666666666667
2002-01-01,CRUDEOIL,Refinery Intake,Argentina,KBD,507.0645,517.8350420634922,0.11507936507936507
2002-01-01,CRUDEOIL,Refinery Intake,Australia,KBD,708.1361,382.3284140740741,0
2002-01-01,CRUDEOIL,Refinery Intake,Azerbaijan,KBD,114.5916,674.9994837037043,0.003703703703703704
2002-01-01,CRUDEOIL,Refinery Intake,Bahrain,KBD,0,132.8919662962963,0.08888888888888889
2002-01-01,CRUDEOIL,Refinery Intake,Bolivia,KBD,30.2581,32.78750476190476,0.2976190476190476
2002-01-01,CRUDEOIL,Refinery Intake,Brazil,KBD,1591.0968,2176.120018650794,0
2002-01-01,CRUDEOIL,Refinery Intake,Brunei Darussalam,KBD,12.376,141.84592074074067,0
2002-01-01,CRUDEOIL,Refinery Intake,Canada,KBD,1573.0284,2742.848378518519,0
2002-01-01,CRUDEOIL,Refinery Intake,China,KBD,3976.649,3885.5735511111097,0.003703703703703704
2002-01-01,CRUDEOIL,Refinery Intake,Colombia,KBD,377.5161,510.38967817460315,0.30158730158730157
2002-01-01,CRUDEOIL,Refinery Intake,Cuba,KBD,0,31.995100793650774,0.47619047619047616
2002-01-01,CRUDEOIL,Refinery Intake,Denmark,KBD,171.5452,206.5252251851851,0
2002-01-01,CRUDEOIL,Refinery Intake,Ecuador,KBD,158.1935,405.30069888888886,0.2
2002-01-01,CRUDEOIL,Refinery Intake,Egypt (Arab Rep.),KBD,511.7129,640.8046481481479,0
2002-01-01,CRUDEOIL,Refinery Intake,Equatorial Guinea,KBD,0,20.192592592592593,0.7777777777777778
2002-01-01,CRUDEOIL,Refinery Intake,Gabon,KBD,0,58.94814814814815,0.7222222222222222
2002-01-01,CRUDEOIL,Refinery Intake,Germany,KBD,2208.289,50.989772222222214,0
2002-01-01,CRUDEOIL,Refinery Intake,India,KBD,2228.5929,693.343351851852,0
2002-01-01,CRUDEOIL,Refinery Intake,Indonesia,KBD,0,778.3844166666664,0.05925925925925926
2002-01-01,CRUDEOIL,Refinery Intake,Iran (Islamic Rep.),KBD,1360,2631.8074074074075,0.2851851851851852
2002-01-01,CRUDEOIL,Refinery Intake,Iraq,KBD,0,2649.4814814814813,0.23703703703703705
2002-01-01,CRUDEOIL,Refinery Intake,Italy,KBD,1813.1716,93.82086444444445,0
